company,signal_type,signal_summary,fit_tier,outreach_angle,source_url
DataPOEM,hiring,"Job post mentions FastAPI + Celery + Redis",A,"You already run Celery+Redis; Gum removes broker/worker ops with @gum.job",https://in.linkedin.com/jobs/view/full-stack-engineer-%E2%80%93-team-lead-backend-focus-python-fastapi-aws-at-data-poem-4363402433
DriveU,hiring,"Python role lists Django, RabbitMQ, Celery, FastAPI",A,"Keep Python app flow, replace queue plumbing with decorator + enqueue",https://wellfound.com/jobs/3476255-python-developer
Urban SDK,hiring,"Senior Python role centered on FastAPI microservices",B,"Use Gum for retries/timeouts/rate-limits around geospatial background workloads",https://www.linkedin.com/jobs/view/senior-python-engineer-fastapi-microservices-at-urban-sdk-4234252834
Orbion Infotech,hiring,"Backend role emphasizes Python FastAPI APIs",B,"Pitch managed background execution for API-triggered long tasks",https://in.linkedin.com/jobs/view/backend%2B-python-fastapi-mongodb-aws-eng-4-yrs-at-orbion-infotech-4360080384
INSTAVIV AI,hiring,"Role requires FastAPI + background tasks (Celery/RQ)",A,"They already expose background task pain; Gum is near drop-in for Python functions",https://in.linkedin.com/jobs/view/backend-%2B-frontend-python-fastapi-%E2%80%93-mandatory-at-instaviv-ai-4376977368
Mave Health,hiring,"Senior backend role: Django + FastAPI + Redis + Celery",A,"Direct Celery replacement narrative with less infra burden",https://wellfound.com/jobs/3318453-senior-backend-developer-django-fastapi
Arivihan Technologies,hiring,"Python role includes Django, Redis, Celery",A,"Show one-line job wrapper and built-in retries/rate limits",https://wellfound.com/jobs/3547809-python-developer
CirclePe,hiring,"Backend role asks for FastAPI/Flask/Django",B,"Position Gum as simple background layer for async workflows",https://wellfound.com/jobs/3372575-backend-developer-python-fastapi-flask-django
Kraftbase,hiring,"Python backend role uses FastAPI and Redis",A,"Pitch Gum for durable background processing without queue ops",https://wellfound.com/jobs/3173143-python-backend-engineer-fastapi
Two Point One,hiring,"Backend role includes Django and Redis",A,"Use Gum to offload long-running backend tasks cleanly",https://wellfound.com/jobs/3180116-software-developer-backend-python
QOVES,hiring,"Senior backend role asks for Python/FastAPI/Django",B,"Sell managed jobs for AI/report generation workflows",https://wellfound.com/jobs/3541963-senior-backend-engineer-python-fastapi-django
Stackera,hiring,"Backend role lists Redis, Celery, FastAPI",A,"Strong replacement fit: existing Celery users can migrate incrementally",https://wellfound.com/jobs/3300767-backend-python-developer
GenieX,hiring,"FastAPI contract role lists Celery and Dramatiq",A,"Compare Gum to Celery/Dramatiq: fewer moving parts for similar control",https://wellfound.com/jobs/3737885-fastapi-backend-developer-contract-role
FOXO,hiring,"Backend role centered on Python + FastAPI distributed systems",B,"Pitch queue/retry/timeout defaults for production reliability",https://wellfound.com/jobs/3543087-software-development-engineer-python-fastapi
Kernel Intelligence,hiring,"Senior backend systems role uses Python/FastAPI",B,"Gum for long-running document/AI tasks with safe retries",https://wellfound.com/jobs/3541646-backend-systems-engineer-freelance-contract-us-based
Textify,hiring,"Backend intern role: Python FastAPI + deployment",C,"Developer-first onboarding: pip install, deploy, enqueue",https://wellfound.com/jobs/2833644-back-end-intern-python-fastapi-and-mongodb
BestAround,hiring,"Full stack role includes Django + Redis",B,"Position Gum for scheduled jobs and notification pipelines",https://wellfound.com/jobs/3537525-full-stack-developer-flutter-django-early-stage-startup
Civitos,hiring,"Engineer role: Django + React",B,"Pitch background job workflows for document/title processing",https://wellfound.com/jobs/3543245-engineer-full-stack-django-react-gcp
Aevis,hiring,"Django developer role at AI operations startup",B,"Use Gum for queueing heavy browser/automation tasks",https://wellfound.com/jobs/3829089-django-developer
Fleek,hiring,"Senior backend role: FastAPI + Django",A,"AI-heavy workflows need robust retries and backpressure; Gum fits",https://wellfound.com/jobs/3336634-senior-backend-engineer-python-django-odoo-fastapi
Wrnly,hiring,"Full-stack role includes FastAPI",C,"Simple async processing for hiring/email/report tasks",https://wellfound.com/jobs/3617318-full-stack-engineer
Mirvie,hiring,"Software engineer role: Python/Django",B,"Healthcare workflows often need durable async processing",https://wellfound.com/jobs/3883220-software-engineer-python-django
M76 Analytics,hiring,"Python/Django developer role",B,"Pitch for analytics batch jobs and scheduled processing",https://wellfound.com/jobs/2138639-python-django-developer
Artikate Studio,hiring,"Backend role lists Celery, Redis, FastAPI",A,"High-fit Celery replacement with lower ops overhead",https://wellfound.com/jobs/3134638-backend-developer-python-django
Letstream,hiring,"Backend/full-stack role emphasizes Django APIs",B,"Use Gum to decouple long tasks from request lifecycle",https://wellfound.com/jobs/3069092-backend-full-stack-developer-django-4-years
Apna Mart,hiring,"Backend engineer role: Python/Django",B,"Pitch order/inventory async jobs with retries and idempotency",https://wellfound.com/jobs/1870311-backend-engineer-python-django
Assystant,hiring,"Python developer role focused on Django",B,"Introduce managed background jobs without infra migration",https://wellfound.com/jobs/2877588-python-developer-django
